,aX,aY,aZ,gX,gY,gZ
108,-2.351,-0.182,1.551,0.008,-1.267,0.028
109,-2.073,-0.158,1.599,0.035,-1.303,0.013
110,-1.796,-0.144,1.638,0.062,-1.329,-0.005
111,-1.432,-0.134,1.681,0.099,-1.347,-0.031
112,-1.178,-0.12,1.719,0.126,-1.348,-0.052
113,-0.934,-0.12,1.733,0.152,-1.338,-0.074
114,-0.656,-0.12,1.733,0.183,-1.302,-0.106
115,-0.474,-0.129,1.743,0.204,-1.259,-0.131
116,-0.283,-0.144,1.762,0.226,-1.179,-0.166
117,-0.172,-0.163,1.757,0.237,-1.101,-0.191
118,-0.091,-0.182,1.757,0.244,-1.008,-0.217
119,-0.048,-0.215,1.748,0.247,-0.861,-0.25
120,-0.057,-0.244,1.743,0.245,-0.735,-0.273
121,-0.115,-0.283,1.748,0.238,-0.596,-0.293
122,-0.249,-0.35,1.767,0.225,-0.397,-0.317
123,-0.402,-0.402,1.791,0.212,-0.24,-0.332
124,-0.67,-0.479,1.834,0.189,-0.025,-0.346
125,-0.91,-0.541,1.863,0.168,0.136,-0.351
126,-2.485,-0.9,1.915,0.044,0.863,-0.317
127,-2.907,-0.986,1.882,0.012,1.008,-0.295
128,-3.357,-1.063,1.834,-0.023,1.149,-0.267
129,-4.003,-1.154,1.762,-0.073,1.329,-0.218
130,-4.525,-1.207,1.695,-0.112,1.457,-0.174
131,-5.061,-1.24,1.633,-0.152,1.579,-0.124
132,-5.799,-1.264,1.537,-0.206,1.726,-0.044
133,-6.354,-1.259,1.465,-0.243,1.822,0.023
134,-6.9,-1.24,1.417,-0.276,1.903,0.096
135,-7.594,-1.202,1.393,-0.312,1.98,0.201
136,-8.073,-1.173,1.389,-0.33,2.008,0.282
137,-8.643,-1.125,1.413,-0.338,1.996,0.394
138,-9.007,-1.082,1.451,-0.332,1.945,0.477
139,-9.299,-1.034,1.532,-0.314,1.853,0.556
140,-9.548,-0.967,1.585,-0.272,1.665,0.655
141,-9.644,-0.924,1.657,-0.226,1.48,0.721
142,-9.653,-0.886,1.729,-0.167,1.259,0.777
143,-9.553,-0.867,1.767,-0.073,0.914,0.834
144,-9.4,-0.862,1.781,0.008,0.629,0.863
145,-9.199,-0.876,1.8,0.098,0.325,0.878
146,-8.849,-0.895,1.829,0.225,-0.095,0.877
147,-8.562,-0.91,1.81,0.324,-0.408,0.86
148,-8.246,-0.924,1.796,0.424,-0.711,0.83
149,-7.791,-0.924,1.729,0.554,-1.082,0.771
150,-7.436,-0.915,1.676,0.649,-1.324,0.714
151,-7.082,-0.891,1.623,0.738,-1.53,0.649
152,-6.618,-0.843,1.566,0.846,-1.743,0.551
153,-6.282,-0.785,1.528,0.919,-1.852,0.471
154,-5.851,-0.694,1.422,1.001,-1.927,0.362
155,-5.535,-0.618,1.322,1.05,-1.928,0.282
156,-5.243,-0.536,1.221,1.089,-1.883,0.204
157,-4.903,-0.426,1.082,1.121,-1.753,0.105
158,-4.697,-0.35,0.991,1.13,-1.61,0.039
159,-4.525,-0.278,0.891,1.126,-1.435,-0.02
160,-4.386,-0.177,0.804,1.101,-1.162,-0.087
161,-4.338,-0.124,0.752,1.068,-0.935,-0.127
162,-4.348,-0.072,0.709,1.023,-0.696,-0.157
163,-4.444,-0.014,0.661,0.951,-0.372,-0.185
164,-4.578,0.014,0.651,0.888,-0.135,-0.195
165,-4.822,0.053,0.656,0.797,0.163,-0.197
166,-5.042,0.077,0.666,0.726,0.365,-0.19
167,-5.296,0.086,0.694,0.654,0.544,-0.175
168,-5.66,0.11,0.728,0.56,0.74,-0.146
169,-5.947,0.124,0.737,0.493,0.849,-0.12
170,-6.225,0.139,0.747,0.429,0.925,-0.088
171,-6.574,0.158,0.771,0.348,0.97,-0.042
172,-6.843,0.168,0.766,0.291,0.963,-0.005
173,-7.082,0.163,0.776,0.236,0.92,0.031
174,-7.369,0.144,0.771,0.164,0.812,0.075
175,-7.556,0.115,0.771,0.111,0.696,0.106
176,-7.714,0.072,0.771,0.059,0.557,0.131
177,-7.877,-0.019,0.752,-0.012,0.342,0.156
178,-7.973,-0.11,0.747,-0.067,0.166,0.165
179,-8.04,-0.211,0.742,-0.122,-0.016,0.167
180,-8.092,-0.364,0.742,-0.196,-0.261,0.155
181,-8.102,-0.484,0.742,-0.252,-0.436,0.136
182,-8.097,-0.603,0.742,-0.307,-0.598,0.11
183,-8.064,-0.771,0.771,-0.375,-0.786,0.064
184,-8.016,-0.881,0.824,-0.422,-0.902,0.024
185,-7.958,-1.03,0.924,-0.478,-1.02,-0.034
186,-7.92,-1.125,1.01,-0.514,-1.077,-0.078
187,-7.891,-1.207,1.087,-0.545,-1.106,-0.121
188,-7.882,-1.274,1.173,-0.576,-1.097,-0.173
189,-7.901,-1.298,1.226,-0.593,-1.054,-0.207
190,-7.982,-1.307,1.293,-0.607,-0.948,-0.241
191,-8.068,-1.288,1.331,-0.611,-0.833,-0.258
192,-8.207,-1.25,1.365,-0.61,-0.691,-0.266
193,-9.285,-1.015,1.542,-0.532,0.228,-0.207
194,-9.582,-0.958,1.585,-0.498,0.443,-0.181
195,-10.003,-0.876,1.633,-0.444,0.715,-0.142
196,-10.324,-0.8,1.686,-0.396,0.897,-0.112
197,-10.645,-0.713,1.724,-0.34,1.054,-0.082
198,-11.08,-0.594,1.762,-0.256,1.215,-0.044
199,-11.396,-0.503,1.767,-0.186,1.295,-0.02
200,-11.789,-0.373,1.762,-0.084,1.34,0.006
201,-12.048,-0.273,1.695,-0.005,1.328,0.019
202,-12.263,-0.168,1.556,0.075,1.282,0.025
203,-12.469,-0.014,1.336,0.181,1.172,0.025
204,-12.565,0.105,1.101,0.257,1.059,0.019
205,-12.632,0.23,0.867,0.329,0.927,0.008
206,-12.661,0.397,0.651,0.412,0.719,-0.014
207,-12.641,0.517,0.503,0.462,0.537,-0.035
208,-12.589,0.637,0.359,0.498,0.339,-0.057
209,-12.479,0.814,0.211,0.523,0.056,-0.088
210,-12.368,0.934,0.144,0.525,-0.163,-0.112
211,-12.239,1.049,0.096,0.511,-0.383,-0.134
212,-12.067,1.183,0.115,0.469,-0.672,-0.161
213,-11.928,1.25,0.172,0.421,-0.88,-0.181
214,-11.789,1.302,0.292,0.361,-1.078,-0.201
215,-11.569,1.312,0.431,0.264,-1.318,-0.228
