,aX,aY,aZ,gX,gY,gZ
109,-9.39,-1.015,1.259,0.131,0.149,-0.111
110,-9.385,-1.015,1.269,0.134,0.142,-0.109
111,-9.38,-1.01,1.283,0.137,0.136,-0.107
112,-9.366,-1.006,1.307,0.14,0.125,-0.104
113,-9.352,-0.996,1.312,0.142,0.117,-0.1
114,-9.342,-0.991,1.317,0.146,0.109,-0.098
115,-9.337,-0.977,1.331,0.149,0.098,-0.095
116,-9.323,-0.977,1.336,0.151,0.091,-0.092
117,-9.309,-0.967,1.341,0.154,0.085,-0.09
118,-9.28,-0.972,1.346,0.156,0.08,-0.088
119,-9.266,-0.977,1.35,0.158,0.079,-0.087
120,-9.242,-0.982,1.374,0.158,0.08,-0.085
121,-9.227,-0.986,1.374,0.157,0.082,-0.083
122,-9.213,-0.977,1.365,0.157,0.086,-0.083
123,-9.189,-0.972,1.365,0.156,0.093,-0.082
124,-9.17,-0.972,1.369,0.154,0.1,-0.081
125,-9.16,-0.972,1.365,0.153,0.108,-0.081
126,-9.16,-0.967,1.365,0.151,0.121,-0.08
127,-9.16,-0.962,1.374,0.149,0.13,-0.08
128,-9.155,-0.967,1.379,0.147,0.139,-0.08
129,-9.155,-0.977,1.374,0.145,0.15,-0.079
130,-9.16,-0.977,1.365,0.142,0.159,-0.08
131,-9.17,-0.977,1.365,0.139,0.167,-0.08
132,-9.179,-0.977,1.346,0.135,0.177,-0.08
133,-9.203,-0.977,1.336,0.131,0.183,-0.079
134,-9.227,-0.977,1.331,0.126,0.188,-0.077
135,-9.242,-0.977,1.322,0.122,0.19,-0.074
136,-9.266,-0.977,1.326,0.117,0.192,-0.072
137,-9.285,-0.977,1.317,0.112,0.191,-0.068
138,-9.309,-0.986,1.312,0.109,0.189,-0.065
139,-9.323,-0.991,1.293,0.106,0.186,-0.061
140,-9.347,-0.996,1.269,0.101,0.181,-0.056
141,-9.366,-1.006,1.25,0.098,0.177,-0.051
142,-9.376,-1.015,1.216,0.096,0.174,-0.047
143,-9.404,-1.02,1.211,0.093,0.169,-0.041
144,-9.419,-1.03,1.197,0.09,0.166,-0.036
145,-9.433,-1.03,1.188,0.088,0.163,-0.031
146,-9.462,-1.034,1.183,0.086,0.16,-0.023
147,-9.476,-1.03,1.178,0.084,0.159,-0.019
148,-9.495,-1.02,1.168,0.082,0.158,-0.013
149,-9.543,-1.01,1.14,0.075,0.159,0.009
150,-9.553,-1.01,1.125,0.074,0.16,0.012
151,-9.572,-1.01,1.106,0.072,0.161,0.017
152,-9.577,-1.01,1.101,0.07,0.161,0.021
153,-9.577,-1.01,1.106,0.067,0.161,0.024
154,-9.577,-1.006,1.106,0.064,0.16,0.028
155,-9.582,-0.996,1.111,0.061,0.159,0.03
156,-9.577,-0.991,1.116,0.058,0.156,0.033
157,-9.572,-0.986,1.12,0.055,0.151,0.035
158,-9.562,-0.982,1.125,0.052,0.147,0.036
159,-9.553,-0.977,1.135,0.049,0.142,0.038
160,-9.534,-0.977,1.14,0.044,0.135,0.039
161,-9.524,-0.977,1.144,0.041,0.129,0.04
162,-9.5,-0.977,1.14,0.038,0.124,0.04
163,-9.486,-0.958,1.13,0.033,0.117,0.04
164,-9.467,-0.943,1.135,0.029,0.113,0.04
165,-9.448,-0.934,1.125,0.025,0.11,0.039
166,-9.414,-0.934,1.13,0.019,0.108,0.037
167,-9.395,-0.924,1.135,0.014,0.107,0.037
168,-9.376,-0.915,1.13,0.011,0.108,0.036
169,-9.352,-0.91,1.125,0.007,0.111,0.035
170,-9.333,-0.905,1.116,0.004,0.115,0.033
171,-9.318,-0.905,1.111,0.001,0.119,0.032
172,-9.299,-0.895,1.111,-0.001,0.126,0.029
173,-9.285,-0.895,1.111,-0.003,0.133,0.027
174,-9.28,-0.905,1.097,-0.005,0.139,0.025
175,-9.285,-0.919,1.077,-0.007,0.15,0.021
176,-9.285,-0.929,1.058,-0.008,0.159,0.018
177,-9.29,-0.934,1.015,-0.011,0.172,0.013
178,-9.309,-0.943,0.996,-0.013,0.183,0.01
179,-9.323,-0.953,0.977,-0.016,0.194,0.007
180,-9.357,-0.967,0.967,-0.019,0.209,0.004
181,-9.371,-0.972,0.953,-0.022,0.22,0.002
182,-9.4,-0.982,0.939,-0.025,0.229,0.001
183,-9.443,-1.001,0.919,-0.028,0.24,0.001
184,-9.476,-1.015,0.91,-0.03,0.245,0.001
185,-9.5,-1.025,0.9,-0.031,0.247,0.003
186,-9.534,-1.025,0.891,-0.032,0.247,0.007
