,aX,aY,aZ,gX,gY,gZ
7207,-9.663,-1.618,0.316,-0.046,0.134,0.039
7208,-9.826,-1.599,0.297,-0.052,0.179,0.049
7209,-9.955,-1.585,0.292,-0.061,0.209,0.058
7210,-10.075,-1.566,0.292,-0.072,0.234,0.07
7211,-10.247,-1.528,0.297,-0.09,0.259,0.088
7212,-10.362,-1.504,0.297,-0.106,0.271,0.102
7213,-10.477,-1.48,0.311,-0.123,0.276,0.119
7214,-10.616,-1.446,0.34,-0.146,0.272,0.143
7215,-10.712,-1.413,0.369,-0.162,0.26,0.162
7216,-10.783,-1.379,0.402,-0.177,0.241,0.181
7217,-10.851,-1.346,0.441,-0.195,0.204,0.208
7218,-10.87,-1.312,0.484,-0.206,0.167,0.228
7219,-10.865,-1.279,0.541,-0.214,0.122,0.246
7220,-10.822,-1.24,0.603,-0.221,0.052,0.27
7221,-10.764,-1.221,0.651,-0.223,-0.008,0.286
7222,-10.649,-1.192,0.737,-0.222,-0.095,0.304
7223,-10.539,-1.173,0.804,-0.218,-0.164,0.315
7224,-10.41,-1.154,0.867,-0.213,-0.234,0.325
7225,-10.195,-1.13,0.953,-0.202,-0.326,0.334
7226,-10.017,-1.116,1.02,-0.192,-0.393,0.337
7227,-9.835,-1.106,1.077,-0.179,-0.455,0.337
7228,-9.586,-1.101,1.144,-0.161,-0.529,0.334
7229,-9.39,-1.097,1.202,-0.146,-0.574,0.328
7230,-9.117,-1.092,1.283,-0.124,-0.621,0.316
7231,-8.916,-1.092,1.317,-0.106,-0.643,0.304
7232,-8.729,-1.101,1.35,-0.089,-0.652,0.29
7233,-8.49,-1.12,1.393,-0.065,-0.643,0.267
7234,-8.337,-1.14,1.413,-0.048,-0.618,0.248
7235,-8.207,-1.154,1.422,-0.03,-0.579,0.226
7236,-8.073,-1.168,1.437,-0.007,-0.505,0.194
7237,-7.997,-1.173,1.437,0.01,-0.435,0.167
7238,-7.968,-1.192,1.432,0.025,-0.354,0.141
7239,-7.982,-1.211,1.417,0.044,-0.23,0.105
7240,-8.03,-1.231,1.393,0.056,-0.128,0.077
7241,-8.729,-1.226,1.288,0.086,0.358,-0.03
7242,-8.945,-1.207,1.279,0.086,0.446,-0.045
7243,-9.179,-1.188,1.264,0.084,0.521,-0.054
7244,-9.505,-1.164,1.216,0.078,0.6,-0.062
7245,-9.744,-1.149,1.173,0.07,0.645,-0.063
7246,-10.06,-1.135,1.144,0.054,0.681,-0.06
7247,-10.295,-1.135,1.097,0.038,0.691,-0.053
7248,-10.52,-1.135,1.063,0.019,0.687,-0.044
7249,-10.807,-1.144,1.025,-0.011,0.658,-0.03
7250,-11.004,-1.154,0.996,-0.037,0.62,-0.018
7251,-11.181,-1.159,0.977,-0.064,0.568,-0.003
7252,-11.382,-1.164,0.972,-0.102,0.48,0.016
7253,-11.502,-1.168,0.962,-0.132,0.402,0.032
7254,-11.593,-1.159,0.967,-0.162,0.317,0.049
7255,-11.669,-1.144,0.972,-0.202,0.195,0.072
7256,-11.693,-1.14,0.977,-0.232,0.101,0.089
7257,-11.688,-1.13,0.986,-0.263,0.006,0.107
7258,-11.645,-1.116,0.991,-0.304,-0.117,0.129
7259,-11.574,-1.116,1.006,-0.334,-0.205,0.143
7260,-11.463,-1.125,1.03,-0.373,-0.31,0.158
7261,-11.344,-1.13,1.063,-0.403,-0.379,0.168
7262,-11.219,-1.144,1.092,-0.43,-0.44,0.174
7263,-11.023,-1.164,1.135,-0.465,-0.506,0.177
7264,-10.865,-1.168,1.183,-0.489,-0.545,0.176
7265,-10.697,-1.173,1.235,-0.51,-0.575,0.172
7266,-10.472,-1.183,1.312,-0.534,-0.6,0.163
7267,-10.295,-1.188,1.36,-0.548,-0.61,0.152
7268,-10.065,-1.202,1.432,-0.564,-0.608,0.135
7269,-9.898,-1.202,1.484,-0.573,-0.599,0.119
7270,-9.735,-1.202,1.532,-0.58,-0.582,0.102
7271,-9.519,-1.202,1.58,-0.586,-0.55,0.078
7272,-9.38,-1.207,1.623,-0.59,-0.52,0.059
7273,-9.246,-1.211,1.662,-0.592,-0.486,0.041
7274,-9.093,-1.216,1.724,-0.595,-0.436,0.017
7275,-8.983,-1.231,1.772,-0.596,-0.396,-0.001
7276,-8.868,-1.245,1.81,-0.599,-0.341,-0.024
7277,-8.796,-1.259,1.844,-0.601,-0.3,-0.04
7278,-8.744,-1.279,1.867,-0.602,-0.258,-0.056
7279,-8.691,-1.302,1.891,-0.605,-0.207,-0.076
7280,-8.681,-1.374,1.954,-0.607,-0.076,-0.126
7281,-8.71,-1.398,1.954,-0.604,-0.048,-0.136
7282,-8.739,-1.413,1.958,-0.602,-0.031,-0.142
7283,-8.772,-1.446,1.958,-0.598,-0.013,-0.148
7284,-8.801,-1.47,1.958,-0.596,-0.003,-0.151
7285,-8.839,-1.499,1.954,-0.593,0.005,-0.152
7286,-8.878,-1.532,1.958,-0.587,0.013,-0.152
7287,-8.906,-1.566,1.963,-0.584,0.018,-0.151
7288,-8.935,-1.609,1.944,-0.58,0.022,-0.148
7289,-8.978,-1.652,1.93,-0.576,0.027,-0.143
7290,-9.007,-1.686,1.92,-0.572,0.029,-0.139
7291,-9.041,-1.733,1.915,-0.566,0.034,-0.133
7292,-9.06,-1.762,1.911,-0.562,0.037,-0.127
7293,-9.084,-1.791,1.901,-0.556,0.04,-0.12
7294,-9.103,-1.815,1.891,-0.547,0.044,-0.111
7295,-9.127,-1.834,1.891,-0.539,0.047,-0.103
7296,-9.141,-1.853,1.896,-0.531,0.05,-0.094
7297,-9.155,-1.877,1.906,-0.518,0.052,-0.083
7298,-9.16,-1.887,1.896,-0.508,0.054,-0.074
7299,-9.165,-1.896,1.906,-0.493,0.055,-0.064
7300,-9.165,-1.906,1.911,-0.481,0.054,-0.055
7301,-9.155,-1.911,1.906,-0.469,0.053,-0.049
7302,-9.127,-1.896,1.911,-0.452,0.05,-0.04
7303,-9.103,-1.887,1.92,-0.44,0.046,-0.034
7304,-9.079,-1.872,1.92,-0.426,0.042,-0.028
7305,-9.031,-1.858,1.935,-0.409,0.034,-0.021
7306,-8.993,-1.853,1.935,-0.396,0.026,-0.017
7307,-8.93,-1.834,1.949,-0.378,0.014,-0.013
7308,-8.878,-1.815,1.944,-0.365,0.003,-0.009
7309,-8.82,-1.796,1.949,-0.351,-0.008,-0.008
7310,-8.744,-1.772,1.949,-0.334,-0.022,-0.006
7311,-8.681,-1.753,1.958,-0.321,-0.032,-0.006
7312,-8.614,-1.733,1.963,-0.31,-0.041,-0.005
7313,-8.533,-1.714,1.963,-0.296,-0.048,-0.007
7314,-8.475,-1.7,1.949,-0.286,-0.051,-0.009
7315,-8.408,-1.681,1.925,-0.276,-0.05,-0.012
7316,-8.351,-1.671,1.911,-0.271,-0.044,-0.015
7317,-8.308,-1.657,1.891,-0.266,-0.036,-0.019
7318,-8.246,-1.642,1.882,-0.262,-0.019,-0.024
7319,-8.212,-1.638,1.877,-0.26,-0.003,-0.028
7320,-8.169,-1.623,1.863,-0.259,0.023,-0.033
7321,-8.14,-1.604,1.805,-0.261,0.12,-0.047
7322,-8.14,-1.599,1.791,-0.262,0.141,-0.049
7323,-8.15,-1.595,1.781,-0.265,0.167,-0.053
7324,-8.159,-1.59,1.776,-0.267,0.184,-0.054
7325,-8.188,-1.585,1.767,-0.27,0.203,-0.055
7326,-8.207,-1.58,1.748,-0.271,0.213,-0.055
7327,-8.226,-1.575,1.738,-0.273,0.221,-0.055
7328,-8.255,-1.571,1.729,-0.275,0.227,-0.055
7329,-8.274,-1.566,1.729,-0.276,0.227,-0.054
7330,-8.289,-1.561,1.729,-0.275,0.225,-0.054
7331,-8.313,-1.556,1.705,-0.274,0.216,-0.053
7332,-8.327,-1.561,1.69,-0.272,0.207,-0.052
7333,-8.337,-1.566,1.695,-0.268,0.191,-0.051
7334,-8.332,-1.571,1.695,-0.263,0.177,-0.052
7335,-8.332,-1.571,1.686,-0.258,0.162,-0.052
7336,-8.327,-1.575,1.671,-0.251,0.142,-0.053
7337,-8.317,-1.58,1.662,-0.243,0.128,-0.054
7338,-8.308,-1.58,1.647,-0.236,0.115,-0.055
7339,-8.279,-1.585,1.633,-0.225,0.101,-0.058
7340,-8.25,-1.595,1.633,-0.217,0.093,-0.06
7341,-8.222,-1.604,1.623,-0.204,0.086,-0.063
7342,-8.188,-1.609,1.628,-0.194,0.084,-0.066
7343,-8.164,-1.618,1.633,-0.184,0.085,-0.069
7344,-8.135,-1.628,1.623,-0.17,0.09,-0.074
7345,-8.126,-1.638,1.628,-0.158,0.097,-0.078
7346,-8.116,-1.638,1.618,-0.147,0.107,-0.081
7347,-8.107,-1.642,1.599,-0.133,0.123,-0.086
7348,-8.112,-1.647,1.599,-0.121,0.137,-0.089
7349,-8.131,-1.652,1.58,-0.105,0.159,-0.093
7350,-8.145,-1.647,1.585,-0.093,0.175,-0.096
7351,-8.155,-1.652,1.58,-0.08,0.191,-0.098
7352,-8.164,-1.642,1.575,-0.063,0.211,-0.1
7353,-8.169,-1.633,1.58,-0.048,0.224,-0.102
7354,-8.169,-1.609,1.58,-0.034,0.233,-0.101
7355,-8.159,-1.585,1.599,-0.013,0.24,-0.101
7356,-8.14,-1.556,1.609,0.005,0.239,-0.1
7357,-8.112,-1.523,1.614,0.031,0.229,-0.098
7358,-8.078,-1.489,1.618,0.051,0.216,-0.096
7359,-8.035,-1.465,1.623,0.072,0.197,-0.095
7360,-7.968,-1.432,1.638,0.103,0.164,-0.095
7361,-7.906,-1.408,1.642,0.126,0.135,-0.096
7362,-7.839,-1.393,1.647,0.148,0.104,-0.098
7363,-7.752,-1.374,1.638,0.177,0.064,-0.104
7364,-7.681,-1.374,1.633,0.196,0.036,-0.111
7365,-7.618,-1.365,1.609,0.213,0.012,-0.12
7366,-7.542,-1.365,1.585,0.231,-0.01,-0.134
7367,-7.503,-1.369,1.561,0.242,-0.016,-0.147
7368,-7.465,-1.384,1.542,0.247,-0.013,-0.16
7369,-7.441,-1.413,1.513,0.248,0.008,-0.179
7370,-7.446,-1.446,1.494,0.244,0.037,-0.194
7371,-7.499,-1.504,1.465,0.23,0.094,-0.214
7372,-7.575,-1.551,1.437,0.215,0.151,-0.23
7373,-8.337,-1.867,1.336,0.09,0.56,-0.281
7374,-8.571,-1.944,1.302,0.055,0.67,-0.283
7375,-8.839,-2.021,1.274,0.021,0.784,-0.283
7376,-9.237,-2.116,1.226,-0.024,0.938,-0.275
7377,-9.553,-2.198,1.197,-0.056,1.05,-0.264
7378,-9.874,-2.265,1.207,-0.085,1.155,-0.247
7379,-10.285,-2.361,1.183,-0.117,1.278,-0.219
7380,-10.582,-2.442,1.173,-0.133,1.357,-0.193
7381,-10.874,-2.509,1.168,-0.144,1.418,-0.163
7382,-11.219,-2.6,1.173,-0.147,1.468,-0.12
7383,-11.459,-2.662,1.168,-0.141,1.481,-0.087
7384,-11.741,-2.739,1.168,-0.123,1.462,-0.042
7385,-11.909,-2.792,1.159,-0.102,1.419,-0.008
7386,-12.038,-2.83,1.154,-0.074,1.352,0.026
7387,-12.143,-2.863,1.144,-0.028,1.228,0.068
7388,-12.172,-2.873,1.144,0.013,1.112,0.098
7389,-12.158,-2.873,1.125,0.058,0.98,0.126
7390,-12.081,-2.854,1.116,0.125,0.786,0.161
7391,-11.985,-2.82,1.111,0.178,0.632,0.185
7392,-11.851,-2.777,1.111,0.232,0.475,0.207
7393,-11.612,-2.71,1.101,0.307,0.267,0.233
7394,-11.396,-2.653,1.092,0.362,0.118,0.249
7395,-11.157,-2.595,1.068,0.415,-0.021,0.263
7396,-10.798,-2.519,1.053,0.484,-0.187,0.276
7397,-10.515,-2.447,1.044,0.533,-0.293,0.282
7398,-10.118,-2.361,1.015,0.593,-0.406,0.286
7399,-9.802,-2.289,1.01,0.633,-0.467,0.285
7400,-9.481,-2.207,1.015,0.669,-0.508,0.281
7401,-9.05,-2.107,0.982,0.711,-0.53,0.272
7402,-8.734,-2.035,0.953,0.737,-0.52,0.263
7403,-8.437,-1.968,0.919,0.758,-0.488,0.252
7404,-8.073,-1.887,0.871,0.779,-0.417,0.234
7405,-7.829,-1.829,0.843,0.79,-0.344,0.219
7406,-7.618,-1.781,0.809,0.796,-0.257,0.202
7407,-7.398,-1.714,0.761,0.796,-0.126,0.179
7408,-7.274,-1.676,0.728,0.792,-0.017,0.161
7409,-7.192,-1.638,0.694,0.782,0.098,0.144
7410,-7.154,-1.609,0.656,0.761,0.255,0.121
7411,-7.183,-1.595,0.622,0.74,0.372,0.105
7412,-7.254,-1.575,0.584,0.715,0.488,0.089
7413,-7.417,-1.566,0.532,0.674,0.635,0.071
7414,-7.575,-1.561,0.498,0.638,0.738,0.06
7415,-7.767,-1.566,0.484,0.599,0.832,0.05
7416,-8.078,-1.58,0.441,0.543,0.941,0.041
7417,-8.337,-1.599,0.417,0.496,1.01,0.037
7418,-8.614,-1.628,0.402,0.447,1.066,0.035
7419,-8.993,-1.676,0.383,0.379,1.12,0.037
7420,-9.28,-1.705,0.321,0.328,1.147,0.041
7421,-9.558,-1.753,0.287,0.276,1.164,0.047
7422,-9.936,-1.815,0.254,0.207,1.165,0.06
7423,-10.204,-1.867,0.211,0.157,1.154,0.072
7424,-10.453,-1.915,0.192,0.108,1.132,0.086
7425,-10.764,-1.968,0.168,0.048,1.084,0.108
7426,-10.965,-2.006,0.163,0.006,1.035,0.126
7427,-11.157,-2.049,0.163,-0.031,0.974,0.145
7428,-11.368,-2.093,0.182,-0.073,0.877,0.17
7429,-11.478,-2.121,0.215,-0.1,0.791,0.189
7430,-11.583,-2.15,0.244,-0.127,0.665,0.213
7431,-11.621,-2.174,0.273,-0.142,0.564,0.228
7432,-11.621,-2.193,0.302,-0.153,0.458,0.242
7433,-11.574,-2.207,0.326,-0.161,0.313,0.257
7434,-11.085,-2.207,0.388,-0.151,-0.123,0.271
7435,-10.865,-2.198,0.426,-0.142,-0.227,0.265
7436,-10.688,-2.184,0.45,-0.135,-0.293,0.258
7437,-10.506,-2.164,0.479,-0.13,-0.346,0.25
7438,-10.262,-2.145,0.512,-0.122,-0.395,0.238
7439,-10.084,-2.136,0.536,-0.117,-0.416,0.227
7440,-9.902,-2.116,0.57,-0.113,-0.422,0.215
7441,-9.673,-2.088,0.594,-0.11,-0.408,0.199
7442,-9.515,-2.069,0.613,-0.109,-0.382,0.186
7443,-9.328,-2.054,0.627,-0.107,-0.329,0.17
7444,-9.218,-2.04,0.646,-0.107,-0.275,0.158
7445,-9.103,-2.025,0.646,-0.108,-0.212,0.147
7446,-9.002,-2.021,0.656,-0.11,-0.117,0.133
7447,-8.954,-2.021,0.656,-0.111,-0.039,0.122
7448,-8.921,-2.016,0.67,-0.112,0.041,0.114
7449,-8.906,-2.016,0.666,-0.113,0.149,0.105
7450,-8.93,-2.025,0.666,-0.112,0.228,0.099
7451,-8.973,-2.03,0.67,-0.111,0.304,0.094
7452,-9.045,-2.035,0.666,-0.108,0.394,0.091
7453,-9.112,-2.04,0.651,-0.103,0.453,0.09
7454,-9.222,-2.04,0.642,-0.094,0.516,0.089
7455,-9.318,-2.04,0.618,-0.085,0.554,0.09
7456,-9.419,-2.035,0.613,-0.074,0.58,0.092
7457,-9.553,-2.03,0.57,-0.056,0.599,0.095
7458,-9.644,-2.016,0.551,-0.04,0.602,0.098
7459,-9.73,-2.006,0.532,-0.024,0.594,0.102
7460,-9.831,-1.987,0.488,0.001,0.571,0.108
7461,-9.902,-1.973,0.46,0.022,0.545,0.112
7462,-9.969,-1.958,0.436,0.043,0.511,0.116
7463,-10.041,-1.939,0.412,0.071,0.456,0.122
7464,-10.08,-1.92,0.378,0.094,0.408,0.126
7465,-10.099,-1.906,0.35,0.116,0.357,0.128
7466,-10.104,-1.882,0.335,0.143,0.283,0.13
7467,-10.089,-1.867,0.33,0.163,0.227,0.13
7468,-10.06,-1.853,0.316,0.182,0.171,0.128
7469,-10.003,-1.829,0.306,0.205,0.099,0.124
7470,-9.95,-1.82,0.292,0.219,0.048,0.119
7471,-9.893,-1.8,0.273,0.232,0.002,0.114
7472,-9.797,-1.781,0.259,0.245,-0.051,0.105
7473,-9.735,-1.772,0.263,0.253,-0.084,0.097
7474,-9.658,-1.762,0.268,0.259,-0.111,0.089
7475,-9.562,-1.733,0.273,0.264,-0.137,0.077
7476,-9.491,-1.719,0.278,0.267,-0.149,0.069
7477,-9.414,-1.705,0.283,0.268,-0.154,0.06
7478,-9.333,-1.69,0.311,0.268,-0.152,0.05
7479,-9.27,-1.676,0.326,0.267,-0.144,0.043
7480,-9.222,-1.657,0.34,0.265,-0.131,0.035
7481,-9.17,-1.633,0.359,0.261,-0.106,0.027
7482,-9.131,-1.623,0.369,0.256,-0.084,0.021
7483,-9.098,-1.599,0.378,0.249,-0.049,0.015
7484,-9.084,-1.585,0.383,0.243,-0.02,0.01
7485,-9.074,-1.571,0.378,0.236,0.009,0.006
7486,-9.079,-1.551,0.373,0.226,0.047,0.003
7487,-9.093,-1.532,0.369,0.217,0.074,0.001
7488,-9.108,-1.518,0.369,0.207,0.099,-0.001
7489,-9.141,-1.499,0.364,0.193,0.128,-0.001
7490,-9.16,-1.484,0.359,0.18,0.143,-0.001
7491,-9.184,-1.475,0.364,0.168,0.155,-0.001
7492,-9.208,-1.46,0.35,0.149,0.164,-0.001
7493,-9.237,-1.456,0.34,0.134,0.165,0.001
7494,-9.261,-1.456,0.326,0.119,0.161,0.001
7495,-9.27,-1.451,0.311,0.1,0.149,0.003
7496,-9.294,-1.446,0.302,0.085,0.136,0.004
7497,-9.309,-1.441,0.283,0.07,0.119,0.005
7498,-9.333,-1.446,0.273,0.052,0.093,0.005
7499,-9.337,-1.446,0.259,0.039,0.071,0.005
7500,-9.333,-1.446,0.244,0.025,0.047,0.005
7501,-9.318,-1.456,0.244,0.009,0.014,0.005
7502,-9.304,-1.46,0.235,-0.003,-0.011,0.003
7503,-9.17,-1.484,0.215,-0.046,-0.119,-0.003
7504,-9.122,-1.489,0.211,-0.053,-0.137,-0.005
7505,-9.079,-1.489,0.206,-0.058,-0.153,-0.007
7506,-9.017,-1.489,0.22,-0.064,-0.171,-0.009
7507,-8.969,-1.484,0.23,-0.066,-0.182,-0.01
7508,-8.906,-1.47,0.249,-0.068,-0.193,-0.012
7509,-8.863,-1.47,0.254,-0.068,-0.199,-0.013
7510,-8.82,-1.47,0.244,-0.068,-0.202,-0.013
7511,-8.772,-1.48,0.244,-0.065,-0.203,-0.014
7512,-8.739,-1.465,0.249,-0.061,-0.202,-0.014
7513,-8.696,-1.46,0.263,-0.056,-0.198,-0.014
7514,-8.672,-1.451,0.268,-0.052,-0.193,-0.013
7515,-8.648,-1.441,0.268,-0.047,-0.188,-0.012
7516,-8.619,-1.427,0.268,-0.041,-0.18,-0.011
7517,-8.6,-1.413,0.273,-0.036,-0.175,-0.01
7518,-8.581,-1.403,0.297,-0.031,-0.17,-0.008
7519,-8.552,-1.384,0.306,-0.025,-0.164,-0.007
7520,-8.538,-1.374,0.316,-0.02,-0.161,-0.006
7521,-8.528,-1.36,0.326,-0.016,-0.159,-0.005
7522,-8.514,-1.35,0.33,-0.013,-0.159,-0.004
7523,-8.499,-1.341,0.335,-0.01,-0.161,-0.005
7524,-8.475,-1.331,0.335,-0.007,-0.164,-0.006
7525,-8.456,-1.322,0.345,-0.005,-0.168,-0.007
7526,-8.447,-1.322,0.369,-0.003,-0.175,-0.009
7527,-8.432,-1.326,0.383,-0.001,-0.181,-0.011
7528,-8.418,-1.331,0.393,0.001,-0.187,-0.013
7529,-8.394,-1.336,0.412,0.002,-0.195,-0.017
7530,-8.384,-1.35,0.436,0.002,-0.201,-0.02
7531,-8.365,-1.36,0.45,0.003,-0.206,-0.023
7532,-8.356,-1.369,0.45,0.003,-0.21,-0.028
7533,-8.351,-1.384,0.45,0.002,-0.209,-0.031
7534,-8.346,-1.417,0.445,-0.001,-0.204,-0.035
7535,-8.356,-1.432,0.445,-0.003,-0.196,-0.04
7536,-8.365,-1.446,0.441,-0.006,-0.184,-0.043
7537,-8.394,-1.465,0.445,-0.011,-0.161,-0.046
7538,-8.418,-1.48,0.441,-0.015,-0.141,-0.047
7539,-8.571,-1.528,0.484,-0.025,-0.031,-0.034
7540,-8.619,-1.542,0.508,-0.024,-0.011,-0.028
7541,-8.681,-1.561,0.532,-0.022,0.009,-0.019
7542,-8.739,-1.575,0.541,-0.019,0.021,-0.011
7543,-8.801,-1.585,0.555,-0.016,0.03,-0.004
7544,-8.878,-1.604,0.575,-0.011,0.038,0.006
7545,-8.95,-1.628,0.589,-0.008,0.042,0.013
7546,-9.026,-1.647,0.603,-0.006,0.046,0.021
7547,-9.122,-1.686,0.613,-0.005,0.052,0.031
7548,-9.203,-1.705,0.613,-0.004,0.057,0.038
7549,-9.285,-1.719,0.622,-0.005,0.066,0.045
7550,-9.395,-1.738,0.646,-0.007,0.081,0.057
7551,-9.481,-1.753,0.656,-0.008,0.094,0.067
7552,-9.558,-1.757,0.675,-0.007,0.109,0.076
7553,-9.653,-1.772,0.704,-0.006,0.13,0.092
7554,-9.711,-1.772,0.728,-0.003,0.146,0.104
7555,-9.778,-1.772,0.757,0.004,0.165,0.121
7556,-9.821,-1.776,0.781,0.014,0.176,0.134
7557,-9.855,-1.776,0.79,0.026,0.184,0.146
7558,-9.859,-1.767,0.824,0.046,0.186,0.163
7559,-9.855,-1.757,0.843,0.065,0.181,0.175
7560,-9.835,-1.753,0.857,0.086,0.171,0.186
7561,-9.783,-1.748,0.871,0.117,0.147,0.199
7562,-9.735,-1.733,0.891,0.142,0.123,0.208
7563,-9.677,-1.714,0.895,0.169,0.094,0.215
7564,-9.601,-1.69,0.9,0.206,0.05,0.223
7565,-9.524,-1.662,0.91,0.232,0.013,0.228
7566,-9.448,-1.638,0.924,0.259,-0.024,0.231
7567,-9.328,-1.59,0.934,0.294,-0.072,0.234
7568,-9.237,-1.556,0.934,0.319,-0.106,0.236
7569,-9.146,-1.518,0.924,0.342,-0.137,0.236
7570,-9.012,-1.451,0.924,0.371,-0.172,0.236
7571,-8.911,-1.403,0.924,0.39,-0.192,0.234
7572,-8.811,-1.36,0.929,0.406,-0.206,0.232
7573,-8.681,-1.302,0.929,0.423,-0.215,0.229
7574,-8.581,-1.269,0.939,0.433,-0.214,0.226
7575,-8.49,-1.231,0.948,0.441,-0.205,0.221
7576,-8.375,-1.188,0.939,0.446,-0.184,0.215
7577,-8.303,-1.164,0.939,0.446,-0.161,0.21
7578,-8.226,-1.125,0.943,0.443,-0.123,0.202
7579,-8.179,-1.106,0.953,0.439,-0.09,0.195
7580,-8.15,-1.087,0.943,0.432,-0.053,0.188
7581,-8.145,-1.068,0.943,0.419,-0.002,0.179
7582,-8.15,-1.053,0.953,0.408,0.038,0.171
7583,-8.174,-1.049,0.962,0.395,0.079,0.164
7584,-8.222,-1.034,0.977,0.375,0.132,0.154
7585,-8.27,-1.03,0.977,0.358,0.171,0.147
7586,-8.341,-1.03,0.996,0.34,0.207,0.141
7587,-8.442,-1.03,1.001,0.313,0.251,0.133
7588,-8.528,-1.034,1.001,0.292,0.281,0.127
7589,-8.619,-1.044,1.01,0.27,0.306,0.123
7590,-8.739,-1.058,1.025,0.239,0.334,0.117
7591,-8.835,-1.068,1.034,0.217,0.349,0.113
7592,-8.93,-1.077,1.039,0.193,0.359,0.111
7593,-9.064,-1.097,1.063,0.162,0.364,0.109
7594,-9.16,-1.116,1.068,0.14,0.362,0.109
7595,-9.251,-1.13,1.077,0.119,0.354,0.108
7596,-9.371,-1.144,1.101,0.092,0.336,0.109
7597,-9.452,-1.159,1.12,0.074,0.317,0.109
7598,-9.515,-1.178,1.14,0.058,0.294,0.11
7599,-9.582,-1.197,1.173,0.038,0.259,0.11
7600,-9.62,-1.211,1.216,0.025,0.229,0.11
7601,-9.644,-1.221,1.255,0.014,0.198,0.109
7602,-9.673,-1.24,1.288,0.003,0.154,0.107
7603,-9.682,-1.255,1.322,-0.004,0.119,0.105
7604,-9.677,-1.269,1.355,-0.009,0.085,0.102
7605,-9.663,-1.293,1.379,-0.015,0.044,0.094
7606,-9.639,-1.312,1.393,-0.019,0.017,0.088
7607,-9.596,-1.346,1.413,-0.022,-0.013,0.078
7608,-9.572,-1.365,1.422,-0.025,-0.028,0.069
7609,-9.543,-1.379,1.427,-0.027,-0.039,0.058
7610,-9.519,-1.398,1.446,-0.03,-0.042,0.044
7611,-9.505,-1.422,1.456,-0.034,-0.037,0.033
7612,-9.491,-1.446,1.456,-0.037,-0.025,0.022
7613,-9.486,-1.48,1.456,-0.041,0.001,0.006
7614,-9.5,-1.499,1.46,-0.045,0.028,-0.006
7615,-9.515,-1.513,1.451,-0.05,0.058,-0.016
7616,-9.548,-1.537,1.417,-0.055,0.106,-0.027
7617,-9.582,-1.556,1.393,-0.06,0.147,-0.034
7618,-9.663,-1.609,1.384,-0.066,0.202,-0.039
7619,-9.73,-1.662,1.389,-0.068,0.241,-0.042
7620,-9.811,-1.705,1.379,-0.069,0.278,-0.048
7621,-10.242,-1.834,1.307,-0.064,0.385,-0.067
7622,-10.329,-1.848,1.288,-0.063,0.392,-0.066
7623,-10.444,-1.872,1.269,-0.06,0.392,-0.062
7624,-10.539,-1.887,1.24,-0.058,0.385,-0.056
7625,-10.611,-1.906,1.24,-0.056,0.372,-0.05
7626,-10.697,-1.93,1.216,-0.053,0.348,-0.04
7627,-10.755,-1.949,1.216,-0.051,0.324,-0.031
7628,-10.803,-1.963,1.216,-0.046,0.286,-0.021
7629,-10.822,-1.973,1.231,-0.04,0.254,-0.013
7630,-10.827,-1.978,1.255,-0.032,0.217,-0.006
7631,-10.817,-1.982,1.269,-0.019,0.164,0.001
7632,-10.793,-1.987,1.283,-0.005,0.122,0.006
7633,-10.75,-1.978,1.298,0.01,0.08,0.009
7634,-10.673,-1.973,1.317,0.033,0.023,0.011
7635,-10.602,-1.958,1.336,0.051,-0.018,0.012
7636,-10.52,-1.963,1.355,0.07,-0.055,0.011
7637,-10.391,-1.949,1.369,0.095,-0.1,0.007
7638,-10.295,-1.935,1.393,0.112,-0.128,0.003
7639,-10.185,-1.915,1.398,0.13,-0.151,-0.003
7640,-10.027,-1.901,1.403,0.152,-0.173,-0.013
7641,-9.907,-1.887,1.408,0.167,-0.183,-0.021
7642,-9.74,-1.858,1.427,0.187,-0.189,-0.035
7643,-9.625,-1.834,1.446,0.202,-0.187,-0.047
7644,-9.515,-1.805,1.441,0.216,-0.18,-0.06
7645,-9.361,-1.776,1.446,0.234,-0.165,-0.078
7646,-9.251,-1.753,1.451,0.247,-0.151,-0.093
7647,-9.146,-1.729,1.465,0.261,-0.133,-0.11
7648,-9.021,-1.7,1.48,0.279,-0.108,-0.132
7649,-8.935,-1.676,1.489,0.291,-0.087,-0.15
7650,-8.83,-1.652,1.489,0.306,-0.06,-0.173
7651,-8.748,-1.642,1.484,0.317,-0.039,-0.19
7652,-8.677,-1.628,1.475,0.326,-0.02,-0.207
7653,-8.605,-1.609,1.465,0.336,0.004,-0.228
7654,-8.543,-1.604,1.441,0.342,0.02,-0.242
7655,-8.485,-1.599,1.422,0.347,0.034,-0.257
7656,-8.423,-1.59,1.408,0.351,0.049,-0.275
7657,-8.384,-1.58,1.413,0.353,0.057,-0.286
7658,-8.341,-1.58,1.417,0.356,0.064,-0.297
7659,-8.294,-1.575,1.422,0.358,0.068,-0.31
7660,-8.25,-1.585,1.413,0.36,0.068,-0.318
7661,-8.188,-1.595,1.408,0.363,0.065,-0.328
7662,-8.135,-1.604,1.403,0.366,0.06,-0.335
7663,-8.083,-1.618,1.403,0.37,0.055,-0.342
7664,-8.016,-1.638,1.408,0.377,0.045,-0.35
7665,-7.963,-1.652,1.403,0.383,0.036,-0.355
